feature,importance,type
Rrs865,0.3614697972445631,spectral
Rrs705,0.22016669842603978,spectral
Rrs490,0.14894307479442417,spectral
neighbor_chl_min,0.07328468433696747,graph_spatial
Rrs443,0.04788609562566202,spectral
Rrs740,0.041756186086690524,spectral
Rrs560,0.026501215545441895,spectral
Rrs665,0.021456713540622053,spectral
Rrs783,0.02128779723593827,spectral
neighbor_chl_mean,0.014115618812666495,graph_spatial
neighbor_chl_max,0.006906815768925366,graph_spatial
day_of_year,0.006043833579879528,temporal
neighbor_chl_std,0.0049789665845205635,graph_spatial
neighbor_count,0.0025240511538869854,graph_spatial
month,0.0017790806164281277,temporal
season,0.0008993706473437679,temporal
